language,direction,response
backward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
forward language,backward gesture,Monday
forward language,backward gesture,Monday
forward language,backward gesture,Monday
forward language,backward gesture,Monday
backward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,backward gesture,Friday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
forward language,forward gesture,Friday
forward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
forward language,forward gesture,Friday
backward language,forward gesture,Friday
backward language,forward gesture,Friday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
backward language,forward gesture,Friday
forward language,forward gesture,Friday
backward language,forward gesture,Monday
backward language,forward gesture,Monday
forward language,forward gesture,Monday
forward language,backward gesture,Friday
forward language,backward gesture,Friday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,backward gesture,Monday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
forward language,backward gesture,Friday
backward language,forward gesture,Monday
forward language,backward gesture,Friday
backward language,forward gesture,Monday
forward language,forward gesture,Monday
backward language,forward gesture,Monday
forward language,forward gesture,Monday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
forward language,backward gesture,Friday
forward language,backward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,forward gesture,Friday
backward language,forward gesture,Monday
forward language,forward gesture,Monday
forward language,backward gesture,Monday
forward language,backward gesture,Monday
forward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
forward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
forward language,forward gesture,Friday
forward language,backward gesture,Monday
backward language,backward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Friday
forward language,backward gesture,Friday
backward language,backward gesture,Monday
forward language,backward gesture,Monday
forward language,forward gesture,Friday
forward language,forward gesture,Friday
backward language,forward gesture,Friday
forward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,forward gesture,Friday
backward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
forward language,backward gesture,Friday
forward language,backward gesture,Monday
forward language,forward gesture,Monday
forward language,forward gesture,Friday
forward language,forward gesture,Friday
forward language,forward gesture,Friday
forward language,forward gesture,Friday
forward language,forward gesture,Friday
backward language,forward gesture,Friday
forward language,backward gesture,Friday
forward language,backward gesture,Monday
backward language,backward gesture,Monday
backward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,backward gesture,Friday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
forward language,backward gesture,Monday
forward language,backward gesture,Monday
backward language,forward gesture,Friday
backward language,forward gesture,Monday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,backward gesture,Friday
backward language,forward gesture,Monday
backward language,forward gesture,Monday
forward language,backward gesture,Friday
forward language,forward gesture,Monday
forward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,backward gesture,Monday
backward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,backward gesture,Friday
backward language,forward gesture,Monday
forward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,forward gesture,Monday
forward language,backward gesture,Friday
forward language,backward gesture,Monday
forward language,forward gesture,Monday
forward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
forward language,backward gesture,Monday
forward language,backward gesture,Monday
forward language,forward gesture,Friday
backward language,forward gesture,Monday
forward language,forward gesture,Friday
backward language,forward gesture,Monday
forward language,forward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,forward gesture,Monday
forward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,forward gesture,Friday
backward language,forward gesture,Monday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
forward language,backward gesture,Monday
forward language,backward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Friday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
forward language,backward gesture,Monday
forward language,forward gesture,Friday
forward language,forward gesture,Monday
forward language,backward gesture,Friday
forward language,backward gesture,Monday
backward language,forward gesture,Friday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
forward language,backward gesture,Monday
backward language,forward gesture,Monday
forward language,forward gesture,Monday
forward language,backward gesture,Friday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,forward gesture,Friday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
forward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,forward gesture,Friday
backward language,forward gesture,Friday
backward language,forward gesture,Monday
forward language,forward gesture,Friday
forward language,forward gesture,Friday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
forward language,backward gesture,Monday
forward language,backward gesture,Friday
backward language,backward gesture,Monday
forward language,backward gesture,Monday
forward language,forward gesture,Friday
forward language,forward gesture,Friday
backward language,forward gesture,Monday
forward language,backward gesture,Monday
backward language,forward gesture,Monday
forward language,forward gesture,Friday
backward language,forward gesture,Monday
forward language,backward gesture,Friday
backward language,forward gesture,Monday
forward language,forward gesture,Friday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
forward language,backward gesture,Friday
forward language,forward gesture,Monday
backward language,forward gesture,Monday
forward language,forward gesture,Friday
forward language,backward gesture,Monday
forward language,backward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Friday
forward language,backward gesture,Monday
forward language,forward gesture,Monday
forward language,backward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
backward language,backward gesture,Monday
forward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
backward language,forward gesture,Monday
backward language,backward gesture,Monday
forward language,backward gesture,Friday
backward language,backward gesture,Monday
forward language,backward gesture,Monday
forward language,forward gesture,Friday
